TID,TName,CID,Title,Season,Match Format
1,Indian Premier League,128471,Indian Premier League,2024,t20
1,Indian Premier League,127579,Indian Premier League,2023,t20
1,Indian Premier League,123213,Indian Premier League,2022,t20
1,Indian Premier League,118273,Indian Premier League,2021,t20
1,Indian Premier League,116699,Indian Premier League,2020,t20
1,Indian Premier League,112588,Indian Premier League,2019,t20
1,Indian Premier League,111146,Indian Premier League,2018,t20
1,Indian Premier League,90738,Indian Premier League,2017,t20
1,Indian Premier League,10058,Indian Premier League,2016,t20
1,Indian Premier League,112650,Indian Premier League,2015,t20
1,Indian Premier League,112651,Indian Premier League,2014,t20
1,Indian Premier League,112652,Indian Premier League,2013,t20
1,Indian Premier League,112653,Indian Premier League,2012,t20
1,Indian Premier League,112654,Indian Premier League,2011,t20
1,Indian Premier League,112655,Indian Premier League,2010,t20
1,Indian Premier League,112656,Indian Premier League,2009,t20
1,Indian Premier League,112657,Indian Premier League,2008,t20
5,Bangladesh Premier League,128397,Bangladesh Premier League,2024,t20
5,Bangladesh Premier League,113935,Bangladesh Premier League,2019,t20
5,Bangladesh Premier League,112162,Bangladesh Premier League,2019,t20
5,Bangladesh Premier League,107368,Bangladesh Premier League,2017,t20
5,Bangladesh Premier League,90436,Bangladesh Premier League,2016,t20
6,Big Bash League,127796,Big Bash League,2023,t20
6,Big Bash League,125586,Big Bash League,2022,t20
6,Big Bash League,121143,Big Bash League,2021,t20
6,Big Bash League,117103,Big Bash League,2020,t20
6,Big Bash League,113934,Big Bash League,2019,t20
6,Big Bash League,111481,Big Bash League,2018,t20
6,Big Bash League,104945,Big Bash League,2017,t20
6,Big Bash League,90224,Big Bash League,2016,t20
7,Caribbean Premier League,127658,Caribbean Premier League,2023,t20
7,Caribbean Premier League,121140,Caribbean Premier League,2021,t20
7,Caribbean Premier League,116262,Caribbean Premier League,2020,t20
7,Caribbean Premier League,113595,Caribbean Premier League,2019,t20
7,Caribbean Premier League,111293,Caribbean Premier League,2018,t20
7,Caribbean Premier League,91396,Caribbean Premier League,2017,t20
7,Caribbean Premier League,85680,Caribbean Premier League,2016,t20
8,Pakistan Super League,128423,Pakistan Super League,2024,t20
8,Pakistan Super League,127558,Pakistan Super League,2023,t20
8,Pakistan Super League,118132,Pakistan Super League,2021,t20
8,Pakistan Super League,114421,Pakistan Super League,2020,t20
8,Pakistan Super League,112243,Pakistan Super League,2019,t20
8,Pakistan Super League,108677,Pakistan Super League,2018,t20
8,Pakistan Super League,90636,Pakistan Super League,2017,t20
9,Ranji Trophy,128410,Ranji Trophy,2024,firstclass
9,Ranji Trophy,128412,Ranji Trophy Plate League,2024,firstclass
9,Ranji Trophy,113936,Ranji Trophy,2019,firstclass
9,Ranji Trophy,111560,Ranji Trophy,2018,firstclass
9,Ranji Trophy,104934,Ranji Trophy,2017,firstclass
9,Ranji Trophy,90614,Ranji Trophy,2016,firstclass
10,ICC Men's T20 World Cup,115744,ICC Men's T20 World Cup,2020,t20i
10,ICC Men's T20 World Cup,1792,ICC Men's T20 World Cup,2016,t20i
10,ICC Men's T20 World Cup,121877,ICC Men's T20 World Cup,2014,t20i
10,ICC Men's T20 World Cup,121878,ICC Men's T20 World Cup,2012,t20i
10,ICC Men's T20 World Cup,121879,ICC Men's T20 World Cup,2010,t20i
10,ICC Men's T20 World Cup,121880,ICC Men's T20 World Cup,2009,t20i
10,ICC Men's T20 World Cup,121881,ICC Men's T20 World Cup,2007,t20i
11,Vijay Hazare Trophy,118156,Vijay Hazare Trophy,2021,lista
11,Vijay Hazare Trophy,122323,Vijay Hazare Trophy,2021,lista
11,Vijay Hazare Trophy,113655,Vijay Hazare Trophy,2019,lista
11,Vijay Hazare Trophy,111587,Vijay Hazare Trophy,2018,lista
11,Vijay Hazare Trophy,106494,Vijay Hazare Trophy,2018,lista
11,Vijay Hazare Trophy,90744,Vijay Hazare Trophy,2017,lista
12,Lanka Premier League,127751,Lanka Premier League,2023,t20
12,Lanka Premier League,122242,Lanka Premier League,2021,t20
12,Lanka Premier League,117007,Lanka Premier League,2020,t20
13,Syed Mushtaq Ali Trophy,128298,Syed Mushtaq Ali Trophy,2023,t20
13,Syed Mushtaq Ali Trophy,126268,Syed Mushtaq Ali Trophy,2022,t20
13,Syed Mushtaq Ali Trophy,117429,Syed Mushtaq Ali Trophy,2021,t20
13,Syed Mushtaq Ali Trophy,122071,Syed Mushtaq Ali Trophy,2021,t20
13,Syed Mushtaq Ali Trophy,112301,Syed Mushtaq Ali Trophy,2019,t20
13,Syed Mushtaq Ali Trophy,113849,Syed Mushtaq Ali Trophy,2019,t20
14,4-Day Franchise Series,128339,CSA 4-Day Series Division 1,2023,firstclass
14,4-Day Franchise Series,128343,CSA 4-Day Series Division 2,2023,firstclass
14,4-Day Franchise Series,127584,DY Patil T20 Cup,2023,t20
14,4-Day Franchise Series,116938,4-Day Franchise Series,2020,firstclass
14,4-Day Franchise Series,113718,4-Day Franchise Series,2019,firstclass
14,4-Day Franchise Series,111596,4-Day Franchise Series,2018,firstclass
15,The Ford Trophy,128364,The Ford Trophy,2023,lista
15,The Ford Trophy,126670,The Ford Trophy,2022,lista
15,The Ford Trophy,117079,The Ford Trophy,2020,lista
15,The Ford Trophy,113899,The Ford Trophy,2019,lista
15,The Ford Trophy,111882,The Ford Trophy,2018,lista
15,The Ford Trophy,108039,The Ford Trophy,2017,lista
16,Plunket Shield,128296,Plunket Shield,2023,firstclass
16,Plunket Shield,126265,Plunket Shield,2022,firstclass
16,Plunket Shield,121955,Plunket Shield 2021,2021,firstclass
16,Plunket Shield,116842,Plunket Shield,2020,firstclass
16,Plunket Shield,113792,Plunket Shield 2019,2019,firstclass
16,Plunket Shield,111880,Plunket Shield,2018,firstclass
16,Plunket Shield,106482,Plunket Shield,2017,firstclass
16,Plunket Shield,108040,Plunket Shield,2016,firstclass
17,Women's Super Smash,128385,Women's Super Smash,2023,woment20
17,Women's Super Smash,127253,Women's Super Smash,2022,woment20
17,Women's Super Smash,122324,Women's Super Smash,2021,t20
17,Women's Super Smash,114029,Women's Super Smash,2019,t20
17,Women's Super Smash,112128,Super Smash Women's,2018,t20
18,Super Smash Men's,128299,Super Smash,2023,t20
18,Super Smash Men's,127243,Super Smash,2022,t20
18,Super Smash Men's,122325,Super Smash,2021,t20
18,Super Smash Men's,117202,Super Smash,2020,t20
18,Super Smash Men's,113933,Super Smash,2019,t20
18,Super Smash Men's,111881,Super Smash,2018,t20
18,Super Smash Men's,106485,Super Smash,2017,t20
18,Super Smash Men's,90602,Super Smash,2016,t20
19,CSA T20 Challenge,123083,CSA T20 Challenge,2022,t20
19,CSA T20 Challenge,112797,CSA T20 Challenge,2019,t20
20,The Marsh Cup,128199,The Marsh Cup,2023,lista
20,The Marsh Cup,118144,The Marsh Cup,2021,lista
20,The Marsh Cup,113654,The Marsh Cup,2019,lista
21,Sheffield Shield,128295,Sheffield Shield,2023,firstclass
21,Sheffield Shield,116792,Sheffield Shield,2020,firstclass
21,Sheffield Shield,113717,Marsh Sheffield Shield,2019,firstclass
21,Sheffield Shield,111435,Sheffield Shield,2018,firstclass
